month,year,destinationProvinceNameEn,originProvinceNameEn,visitPurposeEn,trips,spendSAR,nights
1,2018,Hail,Hail,Business,2801.81,700452.53,7004.53
1,2018,Hail,Jouf,VFR,201.35,302021.72,402.7
1,2018,Hail,Makkah,Business,518.91,1037826.06,1037.83
1,2018,Hail,Makkah,Leisure,3649.08,2189449.58,18245.41
1,2018,Hail,Makkah,VFR,8952.01,7137483.94,48067.74
1,2018,Hail,Riyadh,Leisure,7073.0,2640810.16,16555.54
1,2018,Hail,Riyadh,VFR,4149.04,4370368.84,43137.4
1,2018,Hail,Tabuk,VFR,8987.44,5991625.06,44937.19
1,2018,Jazan,Albaha,Leisure,8985.53,7987134.18,54911.55
1,2018,Jazan,Aseer,Leisure,61908.61,5.887386982E7,253703.89
1,2018,Jazan,Aseer,VFR,19824.21,6471375.69,151326.69
1,2018,Jazan,Eastern,Other,714.23,214269.59,2856.93
1,2018,Jazan,Eastern,VFR,2142.7,1428463.91,24283.89
1,2018,Jazan,Makkah,Business,1556.74,2075652.12,9340.43
1,2018,Jazan,Makkah,Leisure,30538.5,2.699486579E7,110784.93
1,2018,Jazan,Makkah,Other,2919.27,1459633.05,10217.43
1,2018,Jazan,Makkah,VFR,67223.54,4.88901049E7,461662.81
1,2018,Jazan,Najran,Leisure,15537.22,1.431059483E7,47429.4
1,2018,Jazan,Najran,VFR,3270.99,4497615.52,14719.47
1,2018,Jazan,Riyadh,Business,895.69,447843.89,6269.81
1,2018,Jazan,Riyadh,Leisure,4478.44,3582751.11,16122.38
1,2018,Jazan,Riyadh,VFR,17913.76,1.657022387E7,158536.74
1,2018,Jazan,Tabuk,VFR,32953.94,5.542253179E7,383464.0
1,2018,Jouf,Alqassim,Business,568.79,227514.9,1137.57
1,2018,Jouf,Alqassim,Leisure,877.23,614061.56,2631.69
1,2018,Jouf,Jouf,Other,945.02,2551561.01,5670.14
1,2018,Jouf,Jouf,VFR,12757.81,1.105676436E7,36383.37
1,2018,Jouf,Madinah,VFR,1697.86,3395720.51,11885.02
1,2018,Jouf,Makkah,VFR,11677.06,1.288855987E7,56195.87
1,2018,Jouf,Northern Borders,VFR,1504.95,1529431.07,4247.15
1,2018,Jouf,Riyadh,VFR,4715.33,4586165.32,17214.33
1,2018,Madinah,Albaha,Religious,7987.13,4492762.98,27954.97
1,2018,Madinah,Alqassim,Religious,10122.13,6149814.99,35725.96
1,2018,Madinah,Alqassim,VFR,12281.23,4824769.37,66669.54
1,2018,Madinah,Aseer,Religious,2427.79,4855576.89,9711.15
1,2018,Madinah,Eastern,Business,714.23,142846.39,1428.46
1,2018,Madinah,Eastern,Leisure,369.21,110763.59,1846.06
1,2018,Madinah,Eastern,Other,714.23,214269.59,2142.7
1,2018,Madinah,Eastern,Religious,31129.57,4.105197934E7,172789.42
1,2018,Madinah,Eastern,VFR,714.23,642808.76,4999.62
1,2018,Madinah,Hail,Religious,1400.91,1400905.06,2801.81
1,2018,Madinah,Jouf,VFR,2292.74,4613407.9,8365.57
1,2018,Madinah,Madinah,Leisure,134174.75,7.151303915E7,298062.05
1,2018,Madinah,Madinah,VFR,38326.72,1.985280275E7,116615.59
1,2018,Madinah,Makkah,Business,3957.09,4500433.83,9681.83
1,2018,Madinah,Makkah,Leisure,82014.08,5.534725118E7,321651.83
1,2018,Madinah,Makkah,Religious,484579.92,2.989252572E8,1889270.27
1,2018,Madinah,Makkah,VFR,53454.13,5.438475836E7,287886.06
1,2018,Madinah,Najran,Religious,5945.26,5304319.95,23781.04
1,2018,Madinah,Northern Borders,Religious,133.84,66922.48,267.69
1,2018,Madinah,Riyadh,Business,895.69,4478438.89,26870.63
1,2018,Madinah,Riyadh,Leisure,1698.87,849434.6,3397.74
1,2018,Madinah,Riyadh,Other,2831.45,1585611.26,16988.69
1,2018,Madinah,Riyadh,Religious,33954.88,2.033605062E7,109070.77
1,2018,Madinah,Riyadh,VFR,10089.46,8091192.23,64541.4
1,2018,Madinah,Tabuk,Religious,15930.11,1.007519621E7,63316.24
1,2018,Madinah,Tabuk,VFR,1836.71,3061186.26,9183.56
1,2018,Makkah,Albaha,Leisure,29951.75,1.777137355E7,156747.51
1,2018,Makkah,Albaha,Religious,25398.11,2.31821667E7,111152.63
1,2018,Makkah,Albaha,VFR,15263.22,1.386400868E7,84439.59
1,2018,Makkah,Alqassim,Business,3508.92,2456246.22,8772.31
1,2018,Makkah,Alqassim,Leisure,7895.08,6140615.56,23685.23
1,2018,Makkah,Alqassim,Religious,15385.51,1.031906625E7,38666.1
1,2018,Makkah,Alqassim,VFR,4029.61,3176429.72,18914.28
1,2018,Makkah,Aseer,Leisure,95020.21,1.4812109057E8,447460.68
1,2018,Makkah,Aseer,Religious,87728.66,6.304549685E7,298011.56
1,2018,Makkah,Aseer,VFR,4035.41,4561972.93,11704.32
1,2018,Makkah,Eastern,Business,2511.91,1079498.51,8594.98
1,2018,Makkah,Eastern,Leisure,13570.41,1.307044476E7,90707.46
1,2018,Makkah,Eastern,Religious,47647.34,3.950673623E7,231221.68
1,2018,Makkah,Eastern,VFR,8274.15,8188209.04,85356.48
1,2018,Makkah,Jazan,Leisure,15836.05,1.963669775E7,63344.19
1,2018,Makkah,Jazan,Religious,13909.76,1.1037984E7,46822.78
1,2018,Makkah,Jazan,VFR,9501.63,1.346063959E7,39590.12
1,2018,Makkah,Jouf,Leisure,201.35,382560.84,402.7
1,2018,Makkah,Jouf,Religious,8016.49,4805561.51,16435.68
1,2018,Makkah,Madinah,Business,8944.98,6261488.11,15736.42
1,2018,Makkah,Madinah,Leisure,216396.1,2.4587643623E8,1030133.33
1,2018,Makkah,Madinah,Other,4762.77,1925701.12,15655.34
1,2018,Makkah,Madinah,Religious,88975.5,4.542157317E7,156540.45
1,2018,Makkah,Madinah,VFR,32839.89,3.018883107E7,131047.41
1,2018,Makkah,Makkah,Business,15309.46,1.5014495E7,43122.9
1,2018,Makkah,Makkah,Leisure,289131.75,1.7195675357E8,1102795.2
1,2018,Makkah,Makkah,Other,9260.02,6827501.01,38044.52
1,2018,Makkah,Makkah,VFR,104993.43,8.962669246E7,506061.74
1,2018,Makkah,Najran,Leisure,11912.61,2.627845525E7,56181.52
1,2018,Makkah,Najran,Religious,16929.61,1.730090876E7,57794.93
1,2018,Makkah,Najran,VFR,4906.49,4906489.66,22896.95
1,2018,Makkah,Northern Borders,Religious,3489.77,5584619.34,7247.24
1,2018,Makkah,Riyadh,Business,8627.48,2.021072912E7,81888.86
1,2018,Makkah,Riyadh,Leisure,74642.11,8.578926364E7,546603.94
1,2018,Makkah,Riyadh,Other,13672.21,5916727.23,31585.96
1,2018,Makkah,Riyadh,Religious,185856.16,1.0399867899E8,545798.27
1,2018,Makkah,Riyadh,VFR,80386.26,7.409422508E7,439261.42
1,2018,Makkah,Tabuk,Leisure,8987.44,1.198325012E7,67405.78
1,2018,Makkah,Tabuk,Religious,4897.9,2142830.38,9795.8
1,2018,Makkah,Tabuk,VFR,9599.67,3.359886194E7,100425.09
1,2018,Najran,Alqassim,VFR,6140.62,8596861.78,138602.47
1,2018,Najran,Eastern,VFR,714.23,1428463.91,10713.48
1,2018,Najran,Jazan,Business,1583.6,633441.86,3167.21
1,2018,Najran,Jazan,VFR,413.64,413640.96,1240.92
1,2018,Najran,Makkah,VFR,15634.16,1.054986955E7,165440.76
1,2018,Najran,Northern Borders,VFR,1371.1,2742203.61,13711.02
1,2018,Najran,Riyadh,VFR,10089.46,1.152255769E7,65200.2
1,2018,Najran,Tabuk,VFR,7489.53,1.348115638E7,112342.97
1,2018,Northern Borders,Eastern,VFR,4999.62,3428313.38,32140.44
1,2018,Northern Borders,Jouf,Business,201.35,241617.37,201.35
1,2018,Northern Borders,Jouf,Leisure,472.51,472511.3,472.51
1,2018,Northern Borders,Jouf,VFR,945.02,1370282.76,1890.05
1,2018,Northern Borders,Makkah,Business,1459.63,1459633.05,2919.27
1,2018,Northern Borders,Makkah,VFR,4054.2,4054198.21,31298.65
1,2018,Northern Borders,Northern Borders,VFR,1828.14,685550.9,5484.41
1,2018,Northern Borders,Riyadh,VFR,2687.06,4030595.0,13435.32
1,2018,Riyadh,Albaha,Other,2995.18,3993567.09,14975.88
1,2018,Riyadh,Alqassim,Business,9861.78,1.673502715E7,104421.74
1,2018,Riyadh,Alqassim,Leisure,13418.81,1.030123908E7,53154.54
1,2018,Riyadh,Alqassim,Other,877.23,6140615.56,3508.92
1,2018,Riyadh,Alqassim,VFR,5263.38,4561600.13,21053.54
1,2018,Riyadh,Aseer,Business,3641.68,3.726655265E7,81330.91
1,2018,Riyadh,Aseer,Leisure,3231.6,8480898.54,29100.74
1,2018,Riyadh,Aseer,Other,6069.47,6676418.23,12138.94
1,2018,Riyadh,Aseer,VFR,9711.15,1.881536046E7,29133.46
1,2018,Riyadh,Eastern,Business,2511.91,1360669.51,5738.05
1,2018,Riyadh,Eastern,Leisure,9333.4,9407241.76,38641.1
1,2018,Riyadh,Eastern,Other,714.23,214269.59,2856.93
1,2018,Riyadh,Eastern,VFR,10761.86,2.319497089E7,74746.1
1,2018,Riyadh,Hail,Business,7004.53,1.050678797E7,18211.77
1,2018,Riyadh,Hail,Leisure,1400.91,2101357.59,2801.81
1,2018,Riyadh,Hail,Other,1400.91,2101357.59,2801.81
1,2018,Riyadh,Hail,VFR,1400.91,700452.53,2801.81
1,2018,Riyadh,Jazan,VFR,1583.6,2375406.99,3167.21
1,2018,Riyadh,Jouf,Leisure,2362.56,1795542.93,7087.67
