month,year,province,temp
6,2021,Jouf,29.87
7,2021,Jouf,32.87
8,2021,Jouf,32.36
9,2021,Jouf,28.52
10,2021,Jouf,24.31
11,2021,Jouf,16.25
12,2021,Jouf,10.8
13,2021,Jouf,21.61
1,2022,Jouf,7.09
2,2022,Jouf,10.29
3,2022,Jouf,12.63
4,2022,Jouf,22.22
5,2022,Jouf,25.1
6,2022,Jouf,30.98
7,2022,Jouf,32.01
8,2022,Jouf,33.3
9,2022,Jouf,29.6
10,2022,Jouf,24.98
11,2022,Jouf,16.53
12,2022,Jouf,10.56
13,2022,Jouf,21.33
1,2023,Jouf,8.4
2,2023,Jouf,8.3
3,2023,Jouf,14.94
4,2023,Jouf,19.76
5,2023,Jouf,24.9
6,2023,Jouf,29.7
7,2023,Jouf,32.95
8,2023,Jouf,33.39
9,2023,Jouf,30.3
10,2023,Jouf,24.1
11,2023,Jouf,17.42
12,2023,Jouf,12.11
13,2023,Jouf,21.43
