month,year,province,temp
12,2020,Madinah,18.71
13,2020,Madinah,26.11
1,2021,Madinah,17.45
2,2021,Madinah,18.25
3,2021,Madinah,24.06
4,2021,Madinah,27.67
5,2021,Madinah,31.98
6,2021,Madinah,35.99
7,2021,Madinah,35.68
8,2021,Madinah,35.4
9,2021,Madinah,33.9
10,2021,Madinah,30.36
11,2021,Madinah,23.55
12,2021,Madinah,18.58
13,2021,Madinah,27.79
1,2022,Madinah,15.31
2,2022,Madinah,16.95
3,2022,Madinah,21.95
4,2022,Madinah,29.16
5,2022,Madinah,31.65
6,2022,Madinah,35.46
7,2022,Madinah,34.55
8,2022,Madinah,35.54
9,2022,Madinah,33.52
10,2022,Madinah,29.38
11,2022,Madinah,23.74
12,2022,Madinah,18.58
13,2022,Madinah,27.2
1,2023,Madinah,16.15
2,2023,Madinah,16.86
3,2023,Madinah,22.16
4,2023,Madinah,25.36
5,2023,Madinah,29.62
6,2023,Madinah,33.67
7,2023,Madinah,35.79
8,2023,Madinah,35.81
9,2023,Madinah,35.84
10,2023,Madinah,30.62
11,2023,Madinah,24.4
12,2023,Madinah,19.81
13,2023,Madinah,27.23
1,2018,Eastren,15.82
2,2018,Eastren,20.57
3,2018,Eastren,25.41
4,2018,Eastren,28.95
5,2018,Eastren,33.99
6,2018,Eastren,37.71
7,2018,Eastren,38.83
8,2018,Eastren,37.9
9,2018,Eastren,36.02
10,2018,Eastren,30.27
11,2018,Eastren,24.15
12,2018,Eastren,19.63
13,2018,Eastren,29.15
1,2019,Eastren,18.33
2,2019,Eastren,19.01
3,2019,Eastren,22.12
4,2019,Eastren,28.1
5,2019,Eastren,33.89
6,2019,Eastren,38.05
7,2019,Eastren,38.29
8,2019,Eastren,38.29
9,2019,Eastren,35.93
10,2019,Eastren,31.92
11,2019,Eastren,23.95
12,2019,Eastren,19.73
13,2019,Eastren,29.02
1,2020,Eastren,16.07
2,2020,Eastren,19.1
3,2020,Eastren,23.06
4,2020,Eastren,29.69
5,2020,Eastren,33.34
6,2020,Eastren,36.89
7,2020,Eastren,39.1
8,2020,Eastren,38.21
9,2020,Eastren,34.98
10,2020,Eastren,28.55
11,2020,Eastren,24.38
12,2020,Eastren,18.73
13,2020,Eastren,28.53
1,2021,Eastren,17.09
2,2021,Eastren,19.47
3,2021,Eastren,25.33
4,2021,Eastren,29.75
5,2021,Eastren,34.72
6,2021,Eastren,37.0
7,2021,Eastren,39.53
8,2021,Eastren,38.54
9,2021,Eastren,34.89
10,2021,Eastren,30.59
11,2021,Eastren,24.52
12,2021,Eastren,19.26
13,2021,Eastren,29.28
1,2022,Eastren,17.04
2,2022,Eastren,18.48
3,2022,Eastren,24.1
4,2022,Eastren,30.06
5,2022,Eastren,33.39
6,2022,Eastren,37.57
7,2022,Eastren,37.74
8,2022,Eastren,38.35
9,2022,Eastren,34.67
10,2022,Eastren,30.16
11,2022,Eastren,26.07
12,2022,Eastren,19.85
13,2022,Eastren,29.01
1,2023,Eastren,16.5
2,2023,Eastren,19.04
3,2023,Eastren,24.09
4,2023,Eastren,26.69
5,2023,Eastren,33.53
6,2023,Eastren,36.72
7,2023,Eastren,39.16
8,2023,Eastren,39.08
9,2023,Eastren,36.31
10,2023,Eastren,31.53
11,2023,Eastren,25.57
12,2023,Eastren,19.7
13,2023,Eastren,29.05
1,2018,Makkah,20.71
2,2018,Makkah,24.34
3,2018,Makkah,27.31
4,2018,Makkah,28.82
5,2018,Makkah,33.13
6,2018,Makkah,34.73
7,2018,Makkah,34.23
8,2018,Makkah,33.9
9,2018,Makkah,34.7
10,2018,Makkah,30.18
11,2018,Makkah,24.55
12,2018,Makkah,22.85
13,2018,Makkah,29.14
1,2019,Makkah,22.68
2,2019,Makkah,22.34
3,2019,Makkah,23.24
4,2019,Makkah,28.2
5,2019,Makkah,32.82
6,2019,Makkah,35.83
7,2019,Makkah,34.68
8,2019,Makkah,33.78
9,2019,Makkah,34.74
10,2019,Makkah,30.58
11,2019,Makkah,26.88
12,2019,Makkah,23.12
13,2019,Makkah,29.1
1,2020,Makkah,19.1
2,2020,Makkah,21.92
3,2020,Makkah,24.82
4,2020,Makkah,27.91
5,2020,Makkah,32.5
6,2020,Makkah,34.96
7,2020,Makkah,33.33
8,2020,Makkah,32.74
9,2020,Makkah,34.53
10,2020,Makkah,30.35
11,2020,Makkah,25.95
12,2020,Makkah,23.44
13,2020,Makkah,28.47
1,2021,Makkah,21.93
2,2021,Makkah,21.41
3,2021,Makkah,26.8
4,2021,Makkah,29.05
5,2021,Makkah,32.41
6,2021,Makkah,36.39
7,2021,Makkah,33.91
8,2021,Makkah,34.89
9,2021,Makkah,33.93
10,2021,Makkah,31.84
11,2021,Makkah,26.86
12,2021,Makkah,23.32
13,2021,Makkah,29.44
1,2022,Makkah,20.46
2,2022,Makkah,22.45
3,2022,Makkah,25.64
4,2022,Makkah,31.19
5,2022,Makkah,33.91
6,2022,Makkah,35.79
7,2022,Makkah,33.38
8,2022,Makkah,33.51
9,2022,Makkah,34.29
10,2022,Makkah,30.52
11,2022,Makkah,26.47
12,2022,Makkah,22.11
13,2022,Makkah,29.17
1,2023,Makkah,21.23
2,2023,Makkah,22.12
3,2023,Makkah,24.8
4,2023,Makkah,27.92
5,2023,Makkah,31.76
6,2023,Makkah,35.4
